Title, Author, Publisher, Publishing date, Edition, page count, ISBN13, chapter count, genre, cover image
Her Knight at the Museum,	Bryn Donovan,	Berkley,	11/12/2024,	Physical,	352,	978-0593816592,	28,	Romance, her-knight-at-the-museum.jpg
The Wrong Lady Meets Lord Right,	Suzanne Allain,	Berkley,	12/3/2024,	Physical,	272,	978-0593549667,	16,	Historical Romance, the-wrong-lady-meets-lord-right.jpg
Lost and Lassoed,	Lyla Sage,	The Dial Press,	11/5/2024,	Physical,	368,	978-0593732458,	43,	Romance, lost-and-lassoed.jpg
Done and Dusted,	Lyla Sage,	The Dial Press,	10/24/2023,	Physical,	321,	978-0593732427,	29,	Romance, done-and-dusted.jpg
Swift and Saddled,	Lyla Sage,	The Dial Press,	3/5/2024,	Physical,	285,	978-0593732434,	32,	Romance, swift-and-saddled.jpg
First-Time Caller,	B.K. Borison, 	Berkley,	2/11/2025,	Physical,	420,	978-0593641194,	33,	Romance, first-time-caller.jpg
Out on a Limb,	Hannah Bonam-Young,	Dell,	6/4/2024,	Physical, 375,	978-0593872147,	36,	Romance, out-on-a-limb.jpg
Under Loch and Key,	Lana Ferguson,	Berkley,	12/3/2024,	E-book,	390,	978-0593816851,	36	,Paranormal Romance, under-loch-and-key.jpg
Stalked by the Kraken,	Lillian Lark,	Self Published,	6/29/2021,	E-book,	252,	979-8515312909,	28	,Paranormal Romance, stalked-by-the-kraken.jpg
The C*ck Down the Block,	Amy Award,	Coffee Break Publishing,	9/25/2023,	Audiobook,	344,	978-1950228751,	32	,Romance, the-cock-down-the-block.jpg
Mile High,	Liz Tomforde,	Self Published,	10/28/2025,	Physical,	474, 978-1649379696, 57 ,Romance, mile-high.jpg
Fangirl Down,	Tessa Bailey,	Avon,	2/13/2024,	Audiobook,	369,	978-0063308367,	36,	Romance, fangirl-down.jpg
That Time I Got Drunk and Saved a Demon,	Kimberly Lemming,	Orbit,	5/23/2023,	E-book,	260,	978-0316570275,	16,	Paranormal Romance, that-time-i-got-drunk-and-saved-a-demon.jpg
Romancing the Duke,	Tessa Dare,	Avon,	1/28/2014,	Mixed Media,	384,	978-0062240194,	27	,Historical Romance, romancing-the-duke.jpg
Problematic Summer Romance, Ali Hazelwood, Berkeley, 5/27/2025, E-book, 416, 979-8217188123, 43, Romance, problematic-summer-romance.jpg
The Five People you Meet in Heaven, Mitch Albom, Hyperion, 3/1/2006, Physical, 194, 978-0786868711, 11, Religious Fiction, the-five-people-you-meet-in-heaven.jpg
The Love Hypothesis, Ali Hazelwood, Berkeley, 9/14/2021, Physical, 400, 978-0593336823, 23, Romance, the-love-hypothesis.jpg
The Tragedy of Macbeth, William Shakespeare, Barnes & Noble Press, 7/22/2020, Physical, 82, 978-1663538598, 28, Drama, the-tragedy-of-macbeth.png
Anxious People, Fredrik Backman, Forum, 7/6/2021, Physical, 336,  978-91791330268, 73, Realistic Fiction, anxious-people.jpg
Broken Country, Clare Leslie Hall, Simon and Schuster, 3/4/2025, E-book, 319, 978-1668078181, 5, Historical, broken-country.jpg
Atonement, Ian McEwan, Anchor Books, 2/25/2003, Physical, 368, 978-0385721790, 17, Historical, atonement.jpg
The Housemaid, Frieda McFadden, Bookouture, 4/26/2022, Physical, 329, 978-1803144375, 63, Thriller, the-housemaid.jpg
Unbroken, Laura Hillenbrand, Random House, 11/16/2010, Physical, 473, 978-1400064168, 41, nonfiction, unbroken.jpg
A Gentleman in Moscow, Amor Towles, Viking, 9/6/2016, Physical, 480, 978-0670026197, 34, historical fiction, a-gentleman-in-moscow.jpg
The Goldfinch, Donna Tartt, Little, 10/22/2013, Physical, 775, 978-0316055437, 12, realistic fiction, the-goldfinch.jpg
Pachinko, Min Jin Lee, Grand Central Publishing , 2/7/2017, Physical, 496, 978-1455563937,58, historical fiction, pachinko.jpg
A Little Life, 	Hanya Yanagihara, Vintage, 1/26/2016, Physical, 832,978-0804172707, 27, realistic fiction, a-little-life.jpg
The Overstory, Richard Powers, W. W. Norton & Company, 4/2/2019, Physical, 512,978-0393356687, 4, literary fiction, the-overstory.jpg
The Underground Railroad, Colston Whitehead, Doubleday, 8/2/2016, Physical, 320,978-0385542364, 12, historical fiction, the-underground-railroad.jpg
Wolf Hall, Hilary Mantel, Picador, 8/31/2010,Physical, 604,978-0312429980 , 18, historical fiction, wolf-hall.jpg
The Road, Cormac McCarthy, Vintage, 3/28/2006, Physical,278 ,978-0307387899, 13, science fiction , the-road.jpg
Lincoln in the Bardo, George Saunders, Random House ,2/14/2017,Physical, 368, 978-0812995343 , 108, historical fiction, lincoln-in-the-bardo.jpg
The Warmth of Other Suns, Isabel Wilkerson, Vintage ,10/4/2011,Physical, 640,978-0679763888 ,27,historical fiction, the-warmth-of-other-suns.jpg 
Gilead, Marylynne Robinson, Picador , 1/10/2006, Physical, 247, 978-0312424404, 15, historical fiction, gilead.jpg
The Corrections, Jonathan Franzen, Picador, 10/12/2021, Physical, 576, 9781250824028, 7, realistic fiction, the-corrections.jpg
Normal People, Sally Rooney, Crown,4/16/2019, Ebook, 288 ,978-1984822178, 18, realistic fiction, normal-people.jpg
Say Nothing, Patrick Radden Keefe, Doubleday , 2/26/2019, Physcial, 464, 978-0385521314, 30,  nonfiction, say-nothing.jpg
Circe, Madeline Miller, Little Brown & Company, 4/10/2018 ,Physical, 400,978-0316556347,  27, fantasy, circe.jpg
The Book Thief, Markus Zusak, Knopf Books for Young Readers, 9/11/2007, Physical, 608 , 978-0375842207 , 88,historical fiction , the-book-thief.jpg
The Kite Runner, Khaled Hosseini, Riverhead Books , 3/5/2013, Physical,400 , 978-1594631931 , 25, historical fiction, the-kite-runner.jpg
The Song of Achilles, Madeline Miller, Ecco ,5/28/2012, Physical, 416, 978-0062060624,33, historical fiction, the-song-of-achilles.jpg
Gone Girl, Gillian Flynn,Ballantine Books,4/22/2014 , Physical,422 , 978-0307588371, 3, historical fiction, gone-girl.jpg
The Nightingale, Kristin Hannah,St. Martin's Griffin, 4/25/2017, Physical,608 ,978-1250080400 ,39, historical fiction, the-nightingale.jpg
Braiding Sweetgrass, Brobin Wall Kimmerer, Milkweed Editions, 8/11/2015, Physical, 408, 978-1571313560, 31,  nonfiction, braiding-sweetgrass.jpg
The Hunger Games, Suzanne Collins, Scholastic Press ,9/14/2008 , Physical, 384 , 978-0439023481, 27, fantasy, the-hunger-games.jpg
Small Things Like These, Claire Keegan, Grove Press , 11/30/2021, Physcical, 128, 978-0802158741,  7, historical fiction, small-things-like-these.jpg
The Lightning Thief,Rick Riordan,Disney Hyperion,7/1/2005,Physical,384,978-1368051477,22,Fantasy,lightningthief.jpg
The Sea of Monsters,Rick Riordan,Disney Hyperion,4/1/2006,Physical,320,978-1368051491,20,Fantasy,seaofmonsters.jpg
The Titan's Curse,Rick Riordan,Disney Hyperion,5/11/2007,Physical,352,978-1423101482,20,Fantasy,titanscurse.jpg
The Battle of the Labyrinth,Rick Riordan,Disney Hyperion,5/6/2008,Physical,400,978-1423101482,20,Fantasy,battleofthelabyrinth.jpg
The Last Olympian,Rick Riordan,Disney Hyperion,5/5/2009,Physical,432,978-1368051453,23,Fantasy,lastolympian.jpg
The Lost Hero,Rick Riordan,Disney Hyperion,10/12/2010,Physical,551,978-1423113461,56,Fantasy,losthero.jpg
The Son of Neptune,Rick Riordan,Disney Hyperion,10/4/2011,Physical,511,978-1423141990,52,Fantasy,sonofneptune.jpg
The Mark of Athena,Rick Riordan,Disney Hyperion,10/2/2012,Physical,572,978-1423142003,52,Fantasy,markofathena.jpg
The House of Hades,Rick Riordan,Disney Hyperion,10/8/2013,Physical,583,978-1423146773,78,Fantasy,houseofhades.jpg
The Blood of Olympus,Rick Riordan,Disney Hyperion,10/7/2014,Physical,500,978-1423146780,58,Fantasy,bloodofolympus.jpg
The Hidden Oracle,Rick Riordan,Disney Hyperion,5/3/2016,Physical,359,978-1484746417,39,Fantasy,hiddenoracle.jpg
The Dark Prophecy,Rick Riordan,Disney Hyperion,5/2/2017,Physical,401,978-1484780640,42,Fantasy,darkprophecy.jpg
The Burning Maze,Rick Riordan,Disney Hyperion,5/1/2018,Physical,419,978-1484780657,47,Fantasy,burningmaze.jpg
The Tyrant's Tomb,Rick Riordan,Disney Hyperion,9/24/2019,Physical,423,978-1484780664,43,Fantasy,tyrantstomb.jpg
The Tower of Nero,Rick Riordan,Disney Hyperion,10/6/2020,Physical,396,978-1484780671,39,Fantasy,towerofnero.jpg
The Red Pyramid,Rick Riordan,Disney Hyperion,5/4/2010,Physical,544,978-1423113386,41,Fantasy,redpyramid.jpg
The Throne of Fire,Rick Riordan,Disney Hyperion,5/3/2011,Physical,528,978-0120000388,24,Fantasy,throneoffire.jpg
The Serpent's Shadow,Rick Riordan,Disney Hyperion,5/1/2012,Physical,416,978-1423140573,22,Fantasy,serpentsshadow.jpg
The Sword of Summer,Rick Riordan,Disney Hyperion,10/6/2015,Physical,489,978-1423163374,72,Fantasy,swordofsummer.jpg
