Bryn Donovan	Berkley	11/12/2024	Physical	352	978-0593816592		Romance
Suzanne Allain	Berkley	12/3/2024	Physical	272	978-0593549667		Historical Romance
Lyla Sage	The Dial Press	11/5/2024	Physical	368	978-0593732458		Romance
Lyla Sage	The Dial Press	10/24/2023	Physical	321	978-0593732427		Romance
Lyla Sage	The Dial Press	3/5/2024	Physical	285	978-0593732434		Romance
B.K. Borison 	Berkley	2/11/2025	Physical	420	978-0593641194		Romance
Hannah Bonam-Young	Dell	6/4/2024	Physical	375	978-0593872147		Romance
Lana Ferguson	Berkley	12/3/2024	E-book	390	978-0593816851		Paranormal Romance
Lillian Lark	Self Published	6/29/2021	E-book	252	979-8515312909		Paranormal Romance
Amy Award	Indie	9/25/2023	Audiobook	344	978-1950228751		Romance
Liz Tomforde	Self Published	10/28/2025	Physical	474	978-1649379696		Romance
Tessa Bailey	Avon	2/13/2024	Audiobook	369	978-0063308367		Romance
Kimberly Lemming	Orbit	5/23/2023	E-book	260	978-0316570275	16	Paranormal Romance
Tessa Dare	Avon	1/28/2014	Mixed Media	384	978-0062240194		Historical Romance
Ali Hazelwood	Indie		Audiobook	160			Romance
Jessa Maxwell	Atria		Audiobook	288			Mystery
Elsie Sliver	Self Published		Physical	363			Romance
Hannah Nicole Maehrer	Red Tower Books		Mixed Media	340			Fantasy Romance
Liz Tomforde	Self Published		Audiobook	411			Romance
Ali Hazelwood	Berkley		Audiobook	396			Paranormal Romance
Tessa Dare	Avon		Audiobook	384			Historical Romance
Rosie Danan	Berkley		Physical	412			Paranormal Romance
Sarah Adams	Dell		Audiobook	320			Romance
Lyla Sage	The Dial Press		Physical	326			Romance
Thea Stilton	Scholastic		Physical	175			Mystery
Agatha Christie	HarperAudio		Audiobook	352			Mystery
Ruby Dixon	Self Published		Audiobook	134			Romance
Elliot Fletcher	Avon		E-book	384			Romance
Agatha Christie	HarperAudio		Audiobook	272			Mystery
Elsie Silver	Bloom Books		Physical	447			Romance
Ashley Bennett	Self Published		Audiobook	209			Paranormal Romance
Kimberly Lemming	Self Published		Audiobook	54			Paranormal Romance
Hannah Nicole Maehrer	Red Tower Books		Audiobook	337			Fantasy Romance
Sophie Gonzales	Macmillan Audio		Audiobook	352			Romance
Jenna Levine	Berkley		Physical	337			Paranormal Romance
Maiga Doocy	Orbit		Mixed Media	369			Fantasy Romance
Jesikah Sundin	Indie		Audiobook	255			Fantasy Romance
Ashley Bennett	Self Published		Audiobook	180			Paranormal Romance
Alexandra Vasti	Griffin		Audiobook	352			Historical Romance
Nisha J. Tuli	Forever		Audiobook	352			Romance
Paisley Hope	Dell		Mixed Media	362			Romance
Mae Marvel	Macmillan Audio		Audiobook	337			Romance
Danielle Allen	Macmillan Audio		Audiobook	360			Romance
Anita Kelly	Forever		Physical	356			Romance
Chip Pons	G.P. Putnamâ€™s Sons		Audiobook	384			Romance
Kat Mackenzie	Avon		E-book	384			Romance
Elise Kova	Graphic Audio		Audiobook	317			Fantasy Romance
Suzanne Walker, Wendy Xu	Oni Press		Physical	243			Fantasy Romance
Jess Kidd	Atria		Audiobook	336			Mystery
Sarah J. Maas	Bloomsbury		Audiobook	416			Fantasy Romance
Thea Guanzon	Penguin Random House		Audiobook	288			Fantasy Romance
Jenna Levine	Berkley		Mixed Media	368			Paranormal Romance
TJ Alexander	Vintage Books		Audiobook	336			Historical Romance
Sarah Adams	Dell		Audiobook	335			Romance
Lyra Parish	Avon		E-book	399			Romance
Christina Lauren	Gallery		Mixed Media	336			Romance
Juliana Smith	Self Published		Audiobook	308			Romance
Kristin Cast, Pintip Dunn	Delacorte Press		Audiobook	336			Thriller
Umebachi Yamanaka	Indie		E-book	160			Manga
M. A. Wardell	Forever		Audiobook	336			Romance
Sarah Adams	Dell		Audiobook	364			Romance
Mazey Eddings	St. Martin's Griffin		Mixed Media	363			Romance
Tricia O'Malley	Gallery		Audiobook	320			Fantasy Romance
Danica Nava	Berkley		Audiobook	336			Romance
Hannah Bonam-Young	Dell		Audiobook	315			Romance
Sarah Beth Durst	Bramble		Audiobook	374			Fantasy Romance
Alexandra Vasti	St. Martin's Griffin		Physical	329			Historical Romance
Hannah Bonam-Young	Dell		Audiobook	352			Romance
Deanna Grey	Self Published		Audiobook	403			Romance
Ali Hazelwood	Berkley		Audiobook	112			Romance
Ali Hazelwood	Berkley		Audiobook	127			Romance
Ali Hazelwood	Berkley		Audiobook	112			Romance

